"filename", "language", "Dart", "YAML", "C++", "Markdown", "HTML", "Groovy", "Java Properties", "JSON", "Swift", "XML", "comment", "blank", "total"
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 13, 72
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 1, 35
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\api_service.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\auth_service.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\budget_json_service.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 145
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\chat_json_service.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
